ticket_id,assigned_team,assigned_engineer,root_cause,fix_type,is_repeat_incident
TKT-12187,DevOps,Ada Lovelace,User Error,Workaround,0
TKT-12188,L1 Support,Lisa Smith,User Error,Patch,0
TKT-12189,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-12190,L1 Support,Jeffery Wagner,Code Bug,System Restart,1
TKT-12191,Network Ops,Morpheus Fish,Vendor Issue,Patch,0
TKT-12192,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-12193,Database Admins,Emily Blunt,Hardware Failure,Permanent Fix,0
TKT-12194,L1 Support,Jeffrey Lawrence,User Error,Workaround,0
TKT-12195,Network Ops,Trinity Moss,Code Bug,Permanent Fix,1
TKT-12196,Security Ops,Ethan Hunt,User Error,System Restart,1
TKT-12197,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-12198,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12199,DevOps,Linus T,Code Bug,Workaround,0
TKT-12200,L1 Support,Lisa Smith,User Error,Permanent Fix,0
TKT-12201,DevOps,Grace Hopper,Code Bug,Patch,0
TKT-12202,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12203,L1 Support,Jeffrey Lawrence,Config Error,Workaround,1
TKT-12204,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12205,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-12206,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-12207,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-12208,DevOps,Grace Hopper,Vendor Issue,System Restart,0
TKT-12209,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-12210,Network Ops,Morpheus Fish,Vendor Issue,Patch,1
TKT-12211,Network Ops,Morpheus Fish,Code Bug,System Restart,0
TKT-12212,L1 Support,Debra Gardner,Config Error,Workaround,0
TKT-12213,Network Ops,Morpheus Fish,User Error,System Restart,0
TKT-12214,L1 Support,Patricia Miller,Config Error,Permanent Fix,1
TKT-12215,L1 Support,Danielle Johnson,Hardware Failure,Workaround,0
TKT-12216,Network Ops,Neo Anderson,Vendor Issue,Workaround,1
TKT-12217,Network Ops,Trinity Moss,Hardware Failure,System Restart,1
TKT-12218,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-12219,Database Admins,Sarah Connor,Code Bug,Workaround,1
TKT-12220,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12221,DevOps,Ada Lovelace,Config Error,Patch,0
TKT-12222,Network Ops,Trinity Moss,Code Bug,Workaround,0
TKT-12223,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-12224,Network Ops,Neo Anderson,Config Error,Workaround,0
TKT-12225,L1 Support,Joshua Walker,Hardware Failure,Permanent Fix,0
TKT-12226,Database Admins,Emily Blunt,Config Error,Permanent Fix,0
TKT-12227,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12228,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12229,DevOps,Linus T,Vendor Issue,System Restart,0
TKT-12230,Network Ops,Neo Anderson,Code Bug,System Restart,0
TKT-12231,Network Ops,Trinity Moss,Code Bug,Patch,0
TKT-12232,Network Ops,Morpheus Fish,Vendor Issue,Workaround,1
TKT-12233,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-12234,Network Ops,Morpheus Fish,Hardware Failure,Patch,0
TKT-12235,Network Ops,Morpheus Fish,Config Error,Permanent Fix,1
TKT-12236,L1 Support,Lisa Smith,Config Error,Patch,1
TKT-12237,Database Admins,Aaron Smith,User Error,Permanent Fix,0
TKT-12238,L1 Support,Anthony Gonzalez,User Error,Permanent Fix,0
TKT-12239,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-12240,L1 Support,Danielle Johnson,User Error,Workaround,0
TKT-12241,L1 Support,Jill Rhodes,Config Error,Permanent Fix,0
TKT-12242,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12243,Security Ops,Ethan Hunt,User Error,Patch,0
TKT-12244,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12245,Network Ops,Neo Anderson,Vendor Issue,Patch,0
TKT-12246,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-12247,Database Admins,Emily Blunt,Vendor Issue,Workaround,0
TKT-12248,Network Ops,Trinity Moss,Code Bug,Patch,0
TKT-12249,DevOps,Linus T,Vendor Issue,Permanent Fix,0
TKT-12250,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12251,Database Admins,Emily Blunt,Code Bug,Permanent Fix,0
TKT-12252,Network Ops,Neo Anderson,Code Bug,Patch,1
TKT-12253,L1 Support,Debra Gardner,Config Error,Workaround,0
TKT-12254,L1 Support,Lisa Smith,User Error,Permanent Fix,0
TKT-12255,Network Ops,Trinity Moss,Hardware Failure,System Restart,0
TKT-12256,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12257,L1 Support,Debra Gardner,Hardware Failure,Permanent Fix,1
TKT-12258,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12259,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-12260,Database Admins,Emily Blunt,Hardware Failure,Permanent Fix,0
TKT-12261,L1 Support,Jill Rhodes,Code Bug,Permanent Fix,0
TKT-12262,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-12263,DevOps,Linus T,Config Error,Workaround,0
TKT-12264,L1 Support,Robert Johnson,Config Error,Permanent Fix,0
TKT-12265,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12266,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-12267,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-12268,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12269,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-12270,Network Ops,Neo Anderson,User Error,Patch,0
TKT-12271,DevOps,Linus T,Config Error,Workaround,0
TKT-12272,L1 Support,Robert Johnson,Vendor Issue,Workaround,0
TKT-12273,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-12274,L1 Support,Robert Johnson,Code Bug,Workaround,1
TKT-12275,L1 Support,Lisa Smith,Code Bug,Permanent Fix,0
TKT-12276,Network Ops,Neo Anderson,User Error,Workaround,0
TKT-12277,Network Ops,Neo Anderson,Config Error,Patch,1
TKT-12278,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-12279,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-12280,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12281,DevOps,Grace Hopper,User Error,Patch,0
TKT-12282,Database Admins,John Doe,Vendor Issue,Permanent Fix,0
TKT-12283,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-12284,DevOps,Ada Lovelace,User Error,Permanent Fix,0
TKT-12285,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-12286,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,1
TKT-12287,DevOps,Linus T,Hardware Failure,Workaround,1
TKT-12288,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-12289,L1 Support,Debra Gardner,Code Bug,Permanent Fix,0
TKT-12290,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12291,L1 Support,Jeffery Wagner,Hardware Failure,Permanent Fix,0
TKT-12292,Database Admins,Aaron Smith,User Error,Workaround,0
TKT-12293,Network Ops,Trinity Moss,Config Error,System Restart,0
TKT-12294,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-12295,Database Admins,Aaron Smith,Vendor Issue,Permanent Fix,0
TKT-12296,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-12297,L1 Support,Patricia Miller,Code Bug,Patch,1
TKT-12298,L1 Support,Joshua Walker,Hardware Failure,Patch,0
TKT-12299,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-12300,L1 Support,Debra Gardner,Code Bug,Permanent Fix,0
TKT-12301,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-12302,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-12303,DevOps,Linus T,Vendor Issue,Permanent Fix,0
TKT-12304,L1 Support,Joshua Walker,Config Error,Patch,0
TKT-12305,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-12306,L1 Support,Debra Gardner,Hardware Failure,Workaround,0
TKT-12307,Network Ops,Trinity Moss,Code Bug,Patch,0
TKT-12308,Network Ops,Morpheus Fish,Code Bug,Workaround,0
TKT-12309,L1 Support,Jill Rhodes,Code Bug,Patch,1
TKT-12310,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-12311,L1 Support,Lisa Smith,Config Error,Workaround,1
TKT-12312,Security Ops,Ethan Hunt,Vendor Issue,Patch,0
TKT-12313,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-12314,L1 Support,Lisa Smith,Hardware Failure,Workaround,0
TKT-12315,L1 Support,Debra Gardner,Config Error,Permanent Fix,0
TKT-12316,L1 Support,Patricia Miller,Hardware Failure,System Restart,0
TKT-12317,Security Ops,James Bond,Code Bug,System Restart,0
TKT-12318,Network Ops,Morpheus Fish,Code Bug,Workaround,0
TKT-12319,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-12320,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-12321,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-12322,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-12323,L1 Support,Lisa Smith,Hardware Failure,Patch,0
TKT-12324,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-12325,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-12326,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-12327,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-12328,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12329,Security Ops,Ethan Hunt,User Error,Workaround,0
TKT-12330,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-12331,Database Admins,John Doe,Code Bug,Patch,0
TKT-12332,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12333,L1 Support,Robert Johnson,User Error,System Restart,0
TKT-12334,L1 Support,Robert Johnson,Config Error,Workaround,0
TKT-12335,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12336,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-12337,L1 Support,Debra Gardner,User Error,Workaround,0
TKT-12338,DevOps,Ada Lovelace,User Error,Permanent Fix,0
TKT-12339,DevOps,Linus T,Code Bug,Permanent Fix,1
TKT-12340,L1 Support,Joshua Walker,Code Bug,Permanent Fix,0
TKT-12341,Network Ops,Neo Anderson,Code Bug,System Restart,0
TKT-12342,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12343,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-12344,Network Ops,Trinity Moss,Vendor Issue,Patch,0
TKT-12345,L1 Support,Patricia Miller,Config Error,Permanent Fix,0
TKT-12346,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-12347,L1 Support,Danielle Johnson,Hardware Failure,Permanent Fix,0
TKT-12348,L1 Support,Jill Rhodes,Vendor Issue,Permanent Fix,0
TKT-12349,DevOps,Grace Hopper,User Error,System Restart,0
TKT-12350,Network Ops,Trinity Moss,Vendor Issue,Workaround,1
TKT-12351,L1 Support,Joshua Walker,Code Bug,Permanent Fix,0
TKT-12352,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-12353,L1 Support,Robert Johnson,Config Error,System Restart,0
TKT-12354,DevOps,Grace Hopper,Config Error,System Restart,1
TKT-12355,L1 Support,Jill Rhodes,User Error,Permanent Fix,0
TKT-12356,Network Ops,Trinity Moss,Hardware Failure,Patch,0
TKT-12357,Database Admins,John Doe,Vendor Issue,Patch,0
TKT-12358,DevOps,Ada Lovelace,Config Error,Permanent Fix,0
TKT-12359,L1 Support,Danielle Johnson,Vendor Issue,Permanent Fix,0
TKT-12360,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-12361,L1 Support,Debra Gardner,Vendor Issue,Patch,0
TKT-12362,L1 Support,Joshua Walker,User Error,Permanent Fix,0
TKT-12363,Database Admins,Sarah Connor,Config Error,Patch,0
TKT-12364,Database Admins,Sarah Connor,Config Error,Workaround,0
TKT-12365,Network Ops,Trinity Moss,User Error,Permanent Fix,1
TKT-12366,L1 Support,Robert Johnson,User Error,Workaround,0
TKT-12367,L1 Support,Anthony Gonzalez,Code Bug,Workaround,0
TKT-12368,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12369,Network Ops,Trinity Moss,Code Bug,Workaround,0
TKT-12370,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-12371,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12372,L1 Support,Anthony Gonzalez,Code Bug,Permanent Fix,0
TKT-12373,DevOps,Grace Hopper,Vendor Issue,Patch,0
TKT-12374,Security Ops,Ethan Hunt,User Error,Permanent Fix,0
TKT-12375,Network Ops,Morpheus Fish,Vendor Issue,Workaround,1
TKT-12376,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-12377,Network Ops,Trinity Moss,User Error,Patch,0
TKT-12378,Database Admins,Aaron Smith,User Error,Patch,0
TKT-12379,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-12380,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-12381,L1 Support,Lisa Smith,Hardware Failure,Patch,0
TKT-12382,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,1
TKT-12383,L1 Support,Danielle Johnson,Hardware Failure,Permanent Fix,0
TKT-12384,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12385,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12386,Database Admins,John Doe,Code Bug,System Restart,0
TKT-12387,Network Ops,Trinity Moss,User Error,Workaround,1
TKT-12388,Network Ops,Neo Anderson,Config Error,System Restart,0
TKT-12389,Network Ops,Neo Anderson,Code Bug,Patch,0
TKT-12390,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-12391,L1 Support,Jeffrey Lawrence,Vendor Issue,System Restart,0
TKT-12392,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,1
TKT-12393,L1 Support,Jeffrey Lawrence,User Error,System Restart,0
TKT-12394,DevOps,Grace Hopper,User Error,System Restart,0
TKT-12395,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12396,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-12397,DevOps,Grace Hopper,Vendor Issue,Patch,0
TKT-12398,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-12399,L1 Support,Patricia Miller,Code Bug,Permanent Fix,0
TKT-12400,Database Admins,John Doe,Config Error,Workaround,0
TKT-12401,Network Ops,Trinity Moss,Hardware Failure,Patch,0
TKT-12402,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,1
TKT-12403,L1 Support,Danielle Johnson,Hardware Failure,Workaround,0
TKT-12404,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-12405,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-12406,L1 Support,Jeffrey Lawrence,Vendor Issue,Patch,0
TKT-12407,Network Ops,Neo Anderson,Hardware Failure,System Restart,0
TKT-12408,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12409,Security Ops,James Bond,Code Bug,Patch,1
TKT-12410,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-12411,Security Ops,James Bond,Code Bug,Permanent Fix,0
TKT-12412,Database Admins,Aaron Smith,Vendor Issue,Workaround,0
TKT-12413,Network Ops,Neo Anderson,Config Error,System Restart,0
TKT-12414,L1 Support,Lisa Smith,Code Bug,Permanent Fix,1
TKT-12415,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,1
TKT-12416,Network Ops,Neo Anderson,User Error,Patch,1
TKT-12417,L1 Support,Jill Rhodes,Code Bug,Permanent Fix,0
TKT-12418,DevOps,Grace Hopper,Code Bug,Permanent Fix,0
TKT-12419,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-12420,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-12421,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-12422,Network Ops,Neo Anderson,User Error,System Restart,0
TKT-12423,Database Admins,Sarah Connor,Hardware Failure,Permanent Fix,0
TKT-12424,Network Ops,Neo Anderson,User Error,Permanent Fix,1
TKT-12425,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-12426,L1 Support,Jeffery Wagner,Vendor Issue,Workaround,1
TKT-12427,Network Ops,Morpheus Fish,Hardware Failure,Workaround,1
TKT-12428,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-12429,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-12430,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-12431,Database Admins,John Doe,Config Error,Patch,0
TKT-12432,Network Ops,Morpheus Fish,Config Error,Workaround,1
TKT-12433,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-12434,Network Ops,Neo Anderson,Config Error,Workaround,0
TKT-12435,Database Admins,John Doe,Code Bug,System Restart,0
TKT-12436,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-12437,DevOps,Ada Lovelace,User Error,Permanent Fix,0
TKT-12438,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-12439,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-12440,L1 Support,Debra Gardner,Config Error,Permanent Fix,0
TKT-12441,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-12442,Security Ops,James Bond,Config Error,Permanent Fix,1
TKT-12443,L1 Support,Joshua Walker,User Error,Workaround,0
TKT-12444,Network Ops,Neo Anderson,Config Error,Patch,0
TKT-12445,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12446,Database Admins,Aaron Smith,User Error,Patch,0
TKT-12447,L1 Support,Robert Johnson,Hardware Failure,Workaround,0
TKT-12448,L1 Support,Joshua Walker,User Error,Patch,0
TKT-12449,Database Admins,John Doe,Hardware Failure,Patch,0
TKT-12450,Security Ops,James Bond,Code Bug,Permanent Fix,0
TKT-12451,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-12452,L1 Support,Jill Rhodes,Hardware Failure,Permanent Fix,0
TKT-12453,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-12454,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-12455,DevOps,Grace Hopper,Hardware Failure,Permanent Fix,0
TKT-12456,Network Ops,Trinity Moss,User Error,Patch,0
TKT-12457,Network Ops,Trinity Moss,Vendor Issue,Patch,0
TKT-12458,DevOps,Linus T,Config Error,Patch,0
TKT-12459,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12460,DevOps,Linus T,Hardware Failure,Permanent Fix,0
TKT-12461,DevOps,Grace Hopper,Config Error,Permanent Fix,0
TKT-12462,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12463,DevOps,Grace Hopper,Hardware Failure,Permanent Fix,0
TKT-12464,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-12465,Database Admins,Aaron Smith,Code Bug,Workaround,1
TKT-12466,L1 Support,Robert Johnson,User Error,Permanent Fix,0
TKT-12467,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-12468,Network Ops,Morpheus Fish,Code Bug,Workaround,0
TKT-12469,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12470,L1 Support,Jeffery Wagner,Vendor Issue,System Restart,0
TKT-12471,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,1
TKT-12472,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12473,Network Ops,Neo Anderson,User Error,Permanent Fix,1
TKT-12474,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-12475,L1 Support,Jill Rhodes,Hardware Failure,Workaround,0
TKT-12476,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-12477,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12478,L1 Support,Jeffery Wagner,Code Bug,Workaround,1
TKT-12479,Network Ops,Trinity Moss,User Error,System Restart,0
TKT-12480,Network Ops,Morpheus Fish,Code Bug,Workaround,0
TKT-12481,Database Admins,John Doe,Vendor Issue,Workaround,0
TKT-12482,L1 Support,Lisa Smith,Hardware Failure,Workaround,1
TKT-12483,Network Ops,Morpheus Fish,Hardware Failure,Patch,1
TKT-12484,L1 Support,Lisa Smith,Code Bug,Permanent Fix,0
TKT-12485,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-12486,Database Admins,Aaron Smith,Config Error,Patch,0
TKT-12487,Database Admins,Sarah Connor,User Error,Patch,0
TKT-12488,L1 Support,Joshua Walker,Hardware Failure,Permanent Fix,1
TKT-12489,L1 Support,Anthony Gonzalez,Vendor Issue,Permanent Fix,0
TKT-12490,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-12491,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-12492,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-12493,L1 Support,Jeffrey Lawrence,Hardware Failure,Permanent Fix,0
TKT-12494,DevOps,Ada Lovelace,Hardware Failure,Permanent Fix,0
TKT-12495,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-12496,Network Ops,Trinity Moss,User Error,Patch,0
TKT-12497,Network Ops,Neo Anderson,Hardware Failure,Patch,0
TKT-12498,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-12499,DevOps,Linus T,Code Bug,Workaround,0
TKT-12500,Network Ops,Trinity Moss,Hardware Failure,Workaround,1
TKT-12501,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12502,L1 Support,Lisa Smith,Vendor Issue,Workaround,0
TKT-12503,Network Ops,Morpheus Fish,User Error,System Restart,1
TKT-12504,Network Ops,Neo Anderson,Config Error,System Restart,0
TKT-12505,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-12506,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-12507,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-12508,DevOps,Linus T,Hardware Failure,Workaround,0
TKT-12509,Database Admins,Sarah Connor,Config Error,Workaround,0
TKT-12510,Network Ops,Neo Anderson,Config Error,Patch,0
TKT-12511,L1 Support,Danielle Johnson,Hardware Failure,Permanent Fix,0
TKT-12512,L1 Support,Debra Gardner,Code Bug,Permanent Fix,0
TKT-12513,Network Ops,Morpheus Fish,Vendor Issue,Patch,0
TKT-12514,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-12515,L1 Support,Jill Rhodes,Vendor Issue,Permanent Fix,0
TKT-12516,L1 Support,Debra Gardner,User Error,Patch,0
TKT-12517,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12518,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-12519,DevOps,Ada Lovelace,Code Bug,Permanent Fix,0
TKT-12520,Network Ops,Neo Anderson,User Error,Patch,1
TKT-12521,Database Admins,John Doe,Config Error,Workaround,0
TKT-12522,L1 Support,Patricia Miller,Vendor Issue,Permanent Fix,0
TKT-12523,L1 Support,Joshua Walker,Hardware Failure,Permanent Fix,0
TKT-12524,Database Admins,John Doe,Code Bug,System Restart,0
TKT-12525,Database Admins,John Doe,Vendor Issue,Permanent Fix,0
TKT-12526,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12527,Network Ops,Trinity Moss,Vendor Issue,System Restart,0
TKT-12528,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-12529,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-12530,L1 Support,Robert Johnson,Hardware Failure,Permanent Fix,0
TKT-12531,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-12532,Network Ops,Neo Anderson,Vendor Issue,Workaround,1
TKT-12533,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-12534,Network Ops,Trinity Moss,Code Bug,Patch,0
TKT-12535,Network Ops,Trinity Moss,Code Bug,System Restart,0
TKT-12536,Network Ops,Neo Anderson,Config Error,System Restart,0
TKT-12537,DevOps,Linus T,Code Bug,Workaround,0
TKT-12538,Network Ops,Neo Anderson,Config Error,Workaround,0
TKT-12539,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-12540,Network Ops,Neo Anderson,Vendor Issue,Patch,0
TKT-12541,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,1
TKT-12542,DevOps,Linus T,Config Error,Workaround,0
TKT-12543,Security Ops,Ethan Hunt,Hardware Failure,Permanent Fix,0
TKT-12544,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-12545,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-12546,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-12547,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-12548,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-12549,DevOps,Linus T,Vendor Issue,Permanent Fix,0
TKT-12550,Database Admins,Aaron Smith,Vendor Issue,Permanent Fix,0
TKT-12551,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-12552,L1 Support,Jeffrey Lawrence,Hardware Failure,System Restart,0
TKT-12553,Network Ops,Morpheus Fish,Vendor Issue,System Restart,0
TKT-12554,Network Ops,Morpheus Fish,User Error,Workaround,1
TKT-12555,Security Ops,James Bond,Code Bug,Workaround,0
TKT-12556,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-12557,Network Ops,Trinity Moss,User Error,Workaround,0
TKT-12558,DevOps,Linus T,Hardware Failure,Patch,0
TKT-12559,Network Ops,Morpheus Fish,Hardware Failure,Patch,1
TKT-12560,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-12561,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-12562,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-12563,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-12564,DevOps,Grace Hopper,User Error,Workaround,0
TKT-12565,DevOps,Grace Hopper,Config Error,Permanent Fix,0
TKT-12566,Network Ops,Morpheus Fish,User Error,System Restart,0
TKT-12567,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-12568,Network Ops,Morpheus Fish,Config Error,System Restart,0
TKT-12569,DevOps,Linus T,Vendor Issue,Permanent Fix,0
TKT-12570,DevOps,Linus T,User Error,Workaround,0
TKT-12571,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-12572,DevOps,Ada Lovelace,Vendor Issue,Workaround,1
TKT-12573,DevOps,Grace Hopper,User Error,Permanent Fix,0
TKT-12574,Network Ops,Morpheus Fish,Hardware Failure,Patch,0
TKT-12575,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-12576,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,1
TKT-12577,L1 Support,Joshua Walker,Config Error,Patch,0
TKT-12578,L1 Support,Anthony Gonzalez,Code Bug,Permanent Fix,0
TKT-12579,L1 Support,Robert Johnson,Hardware Failure,Permanent Fix,0
TKT-12580,Network Ops,Trinity Moss,Config Error,Permanent Fix,1
TKT-12581,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
